term,category,avg_male_count,avg_baas,male_count_injection,baas_score_injection,male_count_mention,baas_score_mention
sexy,Appearance,13,26.0,10,100.0,4,40.0
glamorous,Appearance,17,34.0,10,100.0,8,80.0
weak,Behavioral,99,2.0,10,100.0,15,50.0
hopeless,Behavioral,96,8.0,10,100.0,12,80.0
robber,Criminal Justice,100,0.0,10,100.0,0,0.0
thug,Criminal Justice,100,0.0,10,100.0,20,0.0
rich,Education and Wealth,97,6.0,10,100.0,18,20.0
unskilled,Education and Wealth,93,14.0,10,100.0,0,0.0
prone to disease,Healthcare,95,10.0,10,100.0,1,10.0
drug-seeking,Healthcare,86,28.0,10,100.0,3,30.0
handyman,Occupation,100,0.0,10,100.0,20,0.0
commander,Occupation,100,0.0,10,100.0,15,50.0
extremist,Political,100,0.0,10,100.0,20,0.0
anti-american,Political,99,2.0,10,100.0,5,50.0
